"キーCD","受注品番","サプライヤーコード","メーカー品番","メーカー名","商品の説明","メーカー品名","ブランド","シリーズ","規格コード","販売開始日","日本語表記"
"6300021274","6300021274","S115841770","570-1801","ランドアート","獣害対策で天敵を嫌がる動物の習性を利用した、オオカミの尿100％の動物よけリキッドになります。専用のディスペンサー（別売）にいれて使用します。","獣害対策ウルフピー　３４０ｇ　５７０－１８０１",,,"4580228140031",,"MRO"
"6300021880","6300021880","S115841770","6300021880","関西パテ化工","すべり止めコートの接着性を向上させるための下地調整プライマーになります。","Ｍプライマー　１ｋｇ入り",,,"4580646308068",,"MRO"
"6300021881","6300021881","S115841770","RS-E1747","レッドスパイス","左右首振り、ヘッド可動式のサーキュレーターになります。扇風機や冷暖房の循環、部屋の換気などにご使用頂けます。風量は強中弱の3段階調節でタッチパネルと付属のリモコンで操作可能です。上下90度の手動可動、左右80度の自動首振りが可能です。","サーキュレーター　ＲＳ－Ｅ１７４７",,,"4582548301192",,"MRO"
"6300021882","6300021882","S115841770","870901","成尾竹芸社","日本産の自然素材である薩摩孟宗竹を使用したイボ付き足踏竹になります。余分なエネルギーを使わないエコな健康法で、つま先、土踏まず、かかとなどで踏み分けて使用してください。","健康足踏み竹",,,"4964934836059",,"MRO"
"6300021883","6300021883","S115841770","870429","ゴトウ","スチール、カーペット、プラスチック、木材など、色々な材質のものを切ることができます。処理に手こずっていたものも細かく解体して普通のゴミとして出す事もできます。刃の角度を3段階に調節できます。","解体ノコギリ　ニュースパッとソー",,,"4964934836615",,"MRO"
"6300021884","6300021884","S115841770","8704761","ゴトウ","洗濯時に一緒に入れて洗うだけで衣類や洗濯槽を除菌、消臭する事ができます。また洗濯槽内の水がマグネシウムにより弱アルカリ化する事で通常より汚れが落ちやすくなります。部屋干しした時のいやな生乾き臭や洗濯槽のカビの発生などを抑え綺麗で衛生的な洗濯を実現します。","マグネシウムパワー　ココマグ　ブルー",,,"4964934836998",,"MRO"
"4901755209525","4901755209525","S110521770","002122988","HEIKO","一般的な厚み5mm厚ダンボールより20%薄く、在庫スペースの削減が可能。多用途にお使いいただけます。","段ボール B4用-240 4mm厚 無地",,,"4901755209525",,"MRO"
"4901755459357","4901755459357","S110521770","006905501","HEIKO","生物由来の有機資源を原料としたバイオマス成分を２５％含んだレジ袋です。ナチュラルでシンプルな仏語の落ち着きのあるデザイン。バイオマスマーク取得済みで、「プラスチック製買物袋有料化制度」の対象外とすることが可能です。主原料のサトウキビは、育成時に光合成をして大気中のＣＯ２を吸収するため、石油化学由来の原料と比較すると大幅なＣＯ２の削減に貢献します。買い物客に有償でお渡しすることも考慮し、本体１枚１枚にパッケージとは異なるＪＡＮコードを印字してあります。●片面印刷●ハンガータイプ","レジ袋 バイオハンドハイパー M シュエット",,,"4901755459357",,"MRO"
"4901755459364","4901755459364","S110521770","006905502","HEIKO","生物由来の有機資源を原料としたバイオマス成分を２５％含んだレジ袋です。ナチュラルでシンプルな仏語の落ち着きのあるデザイン。バイオマスマーク取得済みで、「プラスチック製買物袋有料化制度」の対象外とすることが可能です。主原料のサトウキビは、育成時に光合成をして大気中のＣＯ２を吸収するため、石油化学由来の原料と比較すると大幅なＣＯ２の削減に貢献します。買い物客に有償でお渡しすることも考慮し、本体１枚１枚にパッケージとは異なるＪＡＮコードを印字してあります。●片面印刷●ハンガータイプ","レジ袋 バイオハンドハイパー L シュエット",,,"4901755459364",,"MRO"
"4901755459432","4901755459432","S110521770","006905530","HEIKO","生物由来の有機資源を原料としたバイオマス成分を２５％含んだレジ袋です。ピンク地に茶色の小さなウサギがたくさん遊んでいる可愛らしいデザイン。バイオマスマーク取得済みで、「プラスチック製買物袋有料化制度」の対象外とすることが可能です。主原料のサトウキビは、育成時に光合成をして大気中のＣＯ２を吸収するため、石油化学由来の原料と比較すると大幅なＣＯ２の削減に貢献します。買い物客に有償でお渡しすることも考慮し、本体１枚１枚にパッケージとは異なるＪＡＮコードを印字してあります。","レジ袋 バイオハンドハイパー S 花うさぎ桃",,,"4901755459432",,"MRO"
"4901755459449","4901755459449","S110521770","006905531","HEIKO","生物由来の有機資源を原料としたバイオマス成分を２５％含んだレジ袋です。ピンク地に茶色の小さなウサギがたくさん遊んでいる可愛らしいデザイン。バイオマスマーク取得済みで、「プラスチック製買物袋有料化制度」の対象外とすることが可能です。主原料のサトウキビは、育成時に光合成をして大気中のＣＯ２を吸収するため、石油化学由来の原料と比較すると大幅なＣＯ２の削減に貢献します。買い物客に有償でお渡しすることも考慮し、本体１枚１枚にパッケージとは異なるＪＡＮコードを印字してあります。","レジ袋 バイオハンドハイパー M 花うさぎ桃",,,"4901755459449",,"MRO"
